crc32,savetype_code,rtc,description
d53c9438,3,0,Animal Yokochou - Doki Doki Kyuushutsu Daisakusen! no Maki (Japan)
41b39214,3,0,Animal Yokochou - Doki Doki Shinkyuu Shiken! no Maki (Japan)
840d11c1,0,0,"Animaniacs - Lights, Camera, Action! (Europe)"
52dc386b,1,0,The Ant Bully (Europe)
8d51a101,1,0,The Ant Bully (USA)
367927ed,0,0,Antz - Extreme Racing (Europe)
f4efc5ed,0,0,Antz - Extreme Racing (USA)
ad9af125,1,0,Ao-Zora to Nakama-tachi - Yume no Bouken (Japan)
4202a9cd,0,0,Archer Maclean Presents Pool (USA)
81397ac0,0,0,Arctic Tale (USA)
6d174e28,0,0,Army Men - Operation Green (USA)
65ac74cc,1,0,Army Men - Turf Wars (USA)
9a4a509f,0,0,"Army Men Advance (Europe, USA)"
2dd8cbd7,0,0,Around the World in 80 Days (Europe)
c2c22af2,0,0,Around the World in 80 Days (USA)
87c25055,1,0,Arthur and the Invisibles (USA)
a4dae90b,1,0,Arthur and the Minimoys (Europe)
69cde456,3,0,Ashita no Joe - Makka ni Moeagare! (Japan)
92360109,0,0,Astérix & Obélix - Bash Them All! (Europe)
a9b1ece5,1,0,Astérix & Obélix XXL (Europe)
1e2e8937,2,0,Astro Boy - Omega Factor (Europe)
e8619031,2,0,Astro Boy - Omega Factor (USA)
e2d94b0d,2,0,Astro Boy - Tetsuwan Atom - Atom Heart no Himitsu (Japan)
b9b89fdf,0,0,Atari Anniversary Advance (Europe)
4505a638,0,0,Atari Anniversary Advance (USA)
b3948dbc,0,0,Disney's Atlantis - The Lost Empire (Europe)
8bd224c5,0,0,"Disney's Atlantis - The Lost Empire (Europe, USA)"
8919d82c,0,0,"Atomic Betty (Europe, USA)"
4b4e8bc7,0,0,"ATV - Quad Power Racing (Europe, rev. 1)"
9c1a7dcb,0,0,"ATV - Quad Power Racing (Europe, USA)"
b1d2896f,0,0,ATV - Thunder Ridge Riders (Europe)
773e73c7,0,0,ATV - Thunder Ridge Riders (USA)
946787c0,2,0,Avatar - The Last Airbender (USA)
52d8d101,0,0,Avatar - The Last Airbender - The Burning Earth (USA)
52fe8a62,2,0,Avatar - The Legend of Aang (Europe)
ec5d6afd,0,0,Avatar - The Legend of Aang - The Burning Earth (Europe)
216704f6,2,0,Azumanga Daiou Advance (Japan)
ee41c0eb,2,0,B-Densetsu! Battle B-Daman - Fire Spirits! (Japan)
d6e4064f,2,0,B-Densetsu! Battle B-Daman - Moero! B-Damashii!! (Japan)
ab7d6c17,1,0,Babar to the Rescue (Europe)
d4073e33,1,0,Babar to the Rescue (USA)
5730c85a,0,0,Back to Stone (Europe)
4c29c9c8,0,0,Back to Stone (USA)
48539b4b,1,0,"Back Track (Europe, USA)"
9f36b4e5,1,0,Backyard Baseball (USA)
92bcd192,1,0,Backyard Baseball 2006 - Featuring Pros as Kids (USA)
cbda1d31,1,0,Backyard Basketball (USA)
7ccc79b4,1,0,Backyard Football (USA)
db0723e3,1,0,Backyard Football 2006 (USA)
3a8e31af,1,0,Backyard Hockey (USA)
4eb19b87,1,0,Backyard Skateboarding (USA)
0ee82569,1,0,Backyard Sports - Baseball 2007 (USA)
28724ca5,1,0,Backyard Sports - Basketball 2007 (USA)
e9fdc229,1,0,Backyard Sports - Football 2007 (USA)
9030515d,3,0,Bakunetsu Dodge Ball Fighters (Japan)
7f2e0320,3,0,Bakuten Shoot Beyblade - Gekitou! Saikyou Blader (Japan)
f01ee06c,3,0,"Bakuten Shoot Beyblade 2002 - Gekisen! Team Battle!! Kouryuu no Shou - Daichi
			Hen (Japan)"
